"Date","Price","Open","High","Low","Vol.","Change %"
"08/19/2024","10,054.20","9,866.98","10,061.07","9,796.63","2.69B","2.36%"
"08/16/2024","9,821.96","10,041.43","10,055.12","9,821.96","2.29B","-1.61%"
"08/15/2024","9,982.98","9,874.42","9,982.98","9,763.26","2.60B","1.55%"
"08/14/2024","9,830.94","9,976.68","9,989.92","9,825.00","2.25B","-0.90%"
"08/13/2024","9,920.61","9,842.18","9,920.61","9,708.34","2.48B","0.94%"
"08/12/2024","9,828.56","9,980.15","10,078.12","9,807.35","2.62B","-0.80%"
"08/09/2024","9,907.38","10,160.02","10,189.15","9,907.38","2.40B","-1.89%"
"08/08/2024","10,098.50","10,016.80","10,148.05","10,006.12","2.30B","0.74%"
"08/07/2024","10,024.31","9,960.50","10,076.40","9,902.19","2.46B","1.45%"
"08/06/2024","9,881.23","10,161.67","10,193.88","9,881.23","2.52B","-0.12%"
"08/05/2024","9,893.41","9,769.69","10,117.77","9,733.35","2.80B","-5.54%"
"08/02/2024","10,473.47","10,661.45","10,686.14","10,415.62","2.18B","-3.01%"
"08/01/2024","10,798.09","10,751.99","10,880.04","10,751.99","2.38B","1.50%"
"07/31/2024","10,638.58","10,658.11","10,703.57","10,565.06","2.47B","-0.50%"
"07/30/2024","10,691.68","10,756.17","10,832.65","10,666.05","2.39B","-0.39%"
"07/29/2024","10,733.75","10,827.98","10,873.33","10,728.76","2.33B","-1.45%"
"07/26/2024","10,891.42","10,911.92","10,948.13","10,850.50","2.41B","0.18%"
"07/25/2024","10,871.48","10,989.16","11,017.21","10,838.43","2.85B","-1.09%"
"07/24/2024","10,991.57","11,092.63","11,121.33","10,991.57","3.02B","-0.88%"
"07/23/2024","11,089.53","11,185.98","11,187.44","11,039.15","2.89B","-0.74%"
"07/22/2024","11,172.75","11,182.64","11,245.53","11,119.30","2.56B","0.15%"
