FONKODU,FONGETIRI,FONVOLATILITE,OLCUTGETIRI,OLCUTVOLATILITE,SHARPE,DSHARPE,BETA,ALPHA,TREYNOR,SORTINO,RMD,DOWNSIDERISK,DEGISIMKATSAYISI,RISKDEGERI
ALC,12.9849,23.1343,4.8801,23.5938,0.6547,0.5684,0.9634,0.0308,15.7216,0.8759,7.5808,16.7171,1.5274,6
ALE,59.1938,1.9375,57.9431,1.648,24.5163,209.301,1.1539,-0.0253,41.1649,,0.6349,0,0.0408,1
ALI,-19.091,25.4828,,,-0.7204,-0.712,,,,-1.0903,8.3504,18.6676,-1.388,6
ALJ,8.6624,22.1813,58.146,8.4561,0.4936,0.4343,-0.0285,0.0488,0,0.6499,7.2685,16.1401,2.0258,6
ALR,27.0227,16.0672,29.0968,12.7169,1.5996,1.5854,0.6929,0.0281,37.0914,2.1809,5.265,10.7477,0.6252,6
ALS,20.1802,10.6407,,,1.8163,1.0967,,,,2.3388,3.4868,7.4017,0.5506,5
ALU,1.4489,25.2269,10.7002,19.1253,0.1854,0.1746,1.2965,-0.0443,3.6079,0.2364,8.2665,18.8193,5.3931,6
ALZ,60.5404,2.0267,52.5786,5.1482,23.8622,185.6554,0.1051,0.1739,0,91.1075,0.6641,0.0924,0.0419,2
AMF,17.3814,13.9031,13.8887,11.6323,1.2461,0.6169,1.1647,0.0043,14.8749,1.5616,4.5559,9.8373,0.8025,5
AMG,29.8835,6.3812,32.7442,5.5462,4.2144,-2.0574,1.0274,-0.0118,26.177,4.6218,2.091,4.1621,0.2373,6
AMR,30.3584,4.3148,33.1576,4.2957,6.2936,-13.1306,0.889,0.0043,30.5461,7.073,1.4139,2.3719,0.1589,6
AMY,28.852,16.5218,29.3581,12.7144,1.6484,1.6266,0.7109,0.0317,38.3131,2.2479,5.414,11.0672,0.6066,6
AMZ,74.6675,16.8905,75.3499,22.0385,3.4564,4.9555,0.6467,0.0783,90.2703,5.6437,5.5348,9.7675,0.2893,6
AN1,49.5281,20.1158,61.9969,1.9835,2.1426,1.1962,0.9617,-0.0171,44.8151,2.7324,6.5917,13.242,0.4667,5
ANE,19.6443,10.6149,28.0254,8.9247,1.7777,-0.1725,1.1053,-0.0375,17.0722,2.0891,3.4784,7.6705,0.5625,4
ANG,22.8435,9.684,24.6422,6.912,2.217,-1.9146,1.1258,-0.0163,19.0702,2.5108,3.1733,6.9672,0.4511,4
ANJ,29.1049,12.4764,55.8457,8.4639,2.1524,1.0317,-0.0079,0.108,0,2.8228,4.0884,8.4161,0.4646,4
