FONKODU,FONGETIRI,FONVOLATILITE,OLCUTGETIRI,OLCUTVOLATILITE,SHARPE,DSHARPE,BETA,ALPHA,TREYNOR,SORTINO,RMD,DOWNSIDERISK,DEGISIMKATSAYISI,RISKDEGERI
TSP,30.9263,6.0212,22.9966,4.602,4.5983,-6.6857,0.7874,0.0435,35.161,5.0361,1.9731,3.6297,0.2175,5
TUA,76.0268,17.1507,75.3499,22.0385,3.4527,5.1713,0.6383,0.0836,92.777,6.1027,5.6201,9.5274,0.2896,6
TYH,-0.4051,25.6471,0.9786,24.1109,0.113,0.1097,1.0261,-0.0045,2.8256,0.1466,8.4042,19.124,8.8463,6
TZC,-5.978,23.6239,40.1621,6.3539,-0.1472,-0.1534,1.3508,-0.1996,-2.574,-0.1835,7.7412,17.9842,-6.7946,6
TZD,2.8448,29.4307,1.8078,22.8465,0.2462,0.2253,1.2025,0.0075,6.025,0.2995,9.6441,22.3804,4.0621,6
TZL,58.8551,1.9611,58.4259,1.5175,24.1103,198.0407,1.2182,-0.0396,38.8123,,0.6426,0.0488,0.0415,1
TZT,36.1642,7.7033,39.8183,3.8736,4.1295,-14.0492,1.5094,-0.0792,21.0756,2.8708,2.5243,5.6391,0.2422,3
TZV,53.0173,2.2234,52.7772,1.5925,19.5471,-13.8634,0.4375,0.0973,99.3451,13.5253,0.7286,0.7354,0.0512,1
UPD,25.9987,3.8966,24.2252,4.6086,6.073,-47.9943,0.7969,0.0236,29.6939,11.9807,1.2769,1.3893,0.1647,6
UPH,0.4327,26.3158,-0.9421,24.12,0.1493,0.144,1.0639,0.0073,3.6921,0.1967,8.6233,19.5529,6.6998,6
UPP,58.864,1.9752,57.1484,2.152,23.9414,186.1627,0.567,0.0838,83.4072,62.676,0.6472,0.1638,0.0418,2
UPS,23.7564,17.3977,24.2252,4.6086,1.337,-3.8024,0.9624,0.0073,24.1687,1.1938,5.701,11.505,0.7479,6
USY,23.3354,14.8401,,,1.5165,1.6235,,,,2.3009,4.8629,10.1137,0.6594,6
VEB,25.6441,11.4946,41.1164,1.3973,2.0846,0.918,0.3944,0.04,60.7534,2.5493,3.7666,8.0717,0.4797,5
VED,51.9293,1.7985,42.5257,1.3879,23.7546,184.5018,1.2821,-0.0146,33.3233,,0.5894,0,0.0421,2
VEE,11.5413,20.2209,61.9969,1.9835,0.6529,0.5204,0.0978,0.0333,0,0.8047,6.6261,15.0534,1.5316,7
VEG,27.8189,4.4745,31.4289,4.2172,5.6214,-0.8804,0.8756,0.0026,28.7282,8.7194,1.4662,2.2215,0.1779,5
VEH,5.3632,24.7691,3.6765,22.8384,0.3399,0.31,1.0647,0.0068,7.9079,0.4364,8.1165,18.2879,2.942,6
VEI,24.5332,13.7353,13.8887,11.6323,1.6993,0.4781,1.1208,0.0306,20.8244,2.0751,4.5009,9.7125,0.5885,5
VEK,28.7838,8.8097,33.0861,5.3705,2.975,1.355,1.3247,-0.0501,19.7857,3.6757,2.8868,5.9591,0.3361,4
VEL,59.8545,2.0914,56.065,1.5549,22.9156,172.1147,1.187,-0.024,40.3744,48.6405,0.6853,0.1402,0.0436,2
VEO,22.9832,16.0294,45.3444,1.3727,1.3977,0.797,0.1479,0.0665,0,1.7287,5.2526,11.5961,0.7155,6
VEP,48.7076,3.0873,55.0789,8.4667,13.1391,2.8226,0.035,0.1547,0,16.341,1.0117,1.2132,0.0761,3
VER,22.573,11.0441,21.11,8.424,1.9362,1.1215,1.1678,-0.0074,18.3117,2.4137,3.619,7.8155,0.5165,4
VES,49.5436,2.704,36.2889,4.5089,15.2096,10.7899,0.3791,0.1155,0,15.127,0.8861,0.9671,0.0657,3
VET,29.9992,5.456,34.2877,5.1306,4.9357,-4.4891,0.9869,-0.0115,27.2856,6.0465,1.7879,3.134,0.2026,5
VEU,44.1355,4.1408,61.9969,1.9835,9.0348,10.6648,0.7937,-0.0068,47.134,14.419,1.3569,1.6422,0.1107,3
VEV,27.17,14.5005,55.8457,8.4639,1.7645,1.0364,0.0135,0.0991,0,2.1457,4.7516,10.3069,0.5667,5
VEY,30.8334,13.7548,40.8623,1.3523,2.0634,1.013,1.0499,-0.0331,27.0324,2.4063,4.5073,9.7787,0.4846,1
VGA,83.8425,16.083,71.9466,19.8433,3.9473,4.982,0.5822,0.1195,0,6.1983,5.2702,9.279,0.2533,6
VGB,19.7415,7.4848,27.2929,3.4341,2.4941,0.777,1.3305,-0.0563,14.0308,2.925,2.4527,5.3496,0.4009,3
VGC,12.819,18.8026,56.6125,8.4613,0.749,0.6263,-0.0099,0.0577,0,0.9737,6.1614,13.7779,1.3352,5
VGD,79.5806,16.9676,69.646,18.5907,3.6088,2.8818,0.6461,0.1002,94.7802,5.0351,5.5601,10.2715,0.2771,6
VGE,15.4495,18.0135,28.489,7.3899,0.9041,0.8069,2.1085,-0.1518,7.7239,1.1699,5.9028,13.0178,1.1061,6
VGF,12.1843,21.8598,58.146,8.4561,0.6467,0.5322,0.0128,0.0537,0,0.8387,7.1632,16.0687,1.5463,6
VGG,31.5015,13.191,43.2304,1.3837,2.1852,1.2991,0.924,-0.0202,31.1948,2.6313,4.3225,9.2888,0.4576,4
VGH,27.8438,14.4521,43.9351,1.3797,1.8073,1.0924,0.5477,0.0228,47.6853,2.2833,4.7358,10.2619,0.5533,5
VGK,27.3621,6.3907,43.2304,1.3837,3.8949,2.4637,0.8852,-0.0301,28.1188,5.0727,2.0942,4.0073,0.2567,4
VGP,11.6621,27.9364,,,0.543,0.5163,,,,0.7508,9.1544,20.1972,1.8415,6
VGT,33.271,13.5616,56.6114,1.7418,2.2296,1.7828,-0.3197,0.1781,-94.5846,3.1316,4.444,8.832,0.4485,4
VGY,21.5198,11.2832,56.6114,1.7418,1.8193,1.8464,0.2602,0.0341,78.896,2.6832,3.6973,7.6143,0.5496,4
VGZ,30.8736,6.514,55.8457,8.4639,4.2489,0.3881,0.0265,0.105,0,5.3763,2.1346,3.9638,0.2354,4
VK6,59.2008,1.9639,58.4259,1.5175,24.1891,196.1526,1.2185,-0.0387,38.9858,,0.6435,0.0913,0.0413,1
VKE,55.5477,1.8091,33.966,1.5445,24.9453,211.3435,0.3751,0.1346,0,,0.5928,0,0.0401,1
VKJ,59.0458,2.0102,52.5786,5.1482,23.5831,179.8858,0.1083,0.1695,0,68.4437,0.6587,0.1099,0.0424,2
VKT,54.0058,2.3004,52.7772,1.5925,19.18,-71.5077,0.4293,0.1013,0,12.2057,0.7538,0.8501,0.0521,1
VVA,8.8001,22.2422,58.146,8.4561,0.4988,0.4341,-0.0318,0.05,0,0.652,7.2885,16.234,2.005,6
VVD,22.4646,15.6841,56.6125,8.4613,1.3974,0.8839,-0.0088,0.0886,0,1.8376,5.1395,11.0754,0.7156,5
