Fiyat	Fon Günlük Getiri, Logaritmik - Günlük Getiri,	2 Gün Arası Max Fiyat, 	Önceki Günün Zirvesi ile Bugünkü fiyat Karşılaştırması
25.963297	0.00169464	0.001693205	26.500672	-0.020277788
25.777098	-0.007171624	-0.007197464	26.500672	-0.027303987
25.877347	0.003889072	0.003881529	26.500672	-0.023521102
26.058209	0.006989202	0.006964891	26.500672	-0.016696294
26.299726	0.009268365	0.009225678	26.500672	-0.007582676
26.441586	0.005393973	0.005379477	26.500672	-0.002229604
26.442568	3.71385E-05	3.71378E-05	26.500672	-0.002192548
26.500992	0.002209468	0.00220703	26.500992	0
26.518112	0.000646014	0.000645805	26.518112	0
26.472827	-0.001707701	-0.001709161	26.518112	-0.001707701
26.463233	-0.000362409	-0.000362475	26.518112	-0.002069491
26.400167	-0.002383156	-0.002386	26.518112	-0.004447715
26.304951	-0.003606644	-0.003613163	26.518112	-0.008038317
26.261366	-0.001656912	-0.001658287	26.518112	-0.009681911
26.365866	0.003979229	0.003971333	26.518112	-0.005741208
26.366621	2.86355E-05	2.86351E-05	26.518112	-0.005712737
26.530921	0.006231364	0.006212029	26.530921	0
26.577946	0.00177246	0.001770891	26.577946	0
26.523359	-0.002053846	-0.002055958	26.577946	-0.002053846
26.665687	0.005366138	0.005351791	26.665687	0
27.354413	0.025828174	0.025500261	27.354413	0
27.714888	0.013177947	0.013091873	27.714888	0
27.804961	0.003249986	0.003244716	27.804961	0
27.729537	-0.002712609	-0.002716295	27.804961	-0.002712609
27.873174	0.005179928	0.005166558	27.873174	0
27.672891	-0.007185511	-0.007211451	27.873174	-0.007185511
27.60928	-0.002298676	-0.002301322	27.873174	-0.00946767
27.766805	0.005705509	0.005689294	27.873174	-0.003816178
27.948967	0.006560423	0.006538998	27.948967	0
28.061277	0.004018395	0.004010343	28.061277	0
27.87468	-0.006649626	-0.006671833	28.061277	-0.006649626
27.756758	-0.004230434	-0.004239408	28.061277	-0.01085193
27.95686	0.007209127	0.007183266	28.061277	-0.003721035
28.055194	0.003517348	0.003511176	28.061277	-0.000216776
28.420825	0.01303256	0.012948367	28.420825	0
28.4451	0.000854127	0.000853763	28.4451	0
